step,mean_time_s,flow_mean_ml_s,flow_sd_ml_s,audio_mean_energy,audio_sd_energy
1,2.63475,3.263194806156483,0.8315665472052528,-2.7122048137464514,0.16534198421587315
2,7.249625,7.405498558785437,0.5571747120824215,-1.9576240207009965,0.26856018641053536
3,12.198500000000001,10.553768842592675,0.3249158837125069,-1.4075388129282786,0.17486231203721048
4,17.803375000000003,13.092121987659487,0.7963051293977756,-1.1486549107457287,0.17875790935771232
5,22.416,15.33885006135958,0.9530476073004363,-1.0200098152427108,0.10394587512712146
6,27.54775,17.47684633967433,1.0928052821433865,-0.8947344122828762,0.03646030908897122
7,34.183125,20.854791252967814,1.3946972936396715,-0.6646840345938256,0.09802934204834746
8,39.23025,24.29885840899189,1.5737499598705198,-0.46205400414101705,0.1648428565953108
9,43.21575,26.17819826933139,1.4280497467359896,-0.4062027383276952,0.06017332896855376
10,46.749874999999996,27.991329826827084,0.6600164332207314,-0.41212919865893066,0.015863315980135198
