recording,reference_qmax_ml_s,gradient_boosting_qmax_ml_s,raw_calibration_qmax_ml_s,raw_calibration_qmax_error_ml_s,average_offset_subtracted_ml_s,corrected_calibration_qmax_ml_s,corrected_calibration_qmax_error_ml_s
Rec_data_83,10.628659607782668,12.063173608676706,37.8849209736636,27.25626136588093,23.53195352616856,14.352967447495036,3.7243078397123686
Rec_data_84,11.9587358081593,17.08624109732997,42.86681384128408,30.908078033124777,23.53195352616856,19.334860315115517,7.3761245069562165
Rec_data_85,9.485736911242505,10.424426272849226,33.491361513247604,24.0056246020051,23.53195352616856,9.959407987079043,0.47367107583653834
Rec_data_86,12.437341348753218,19.167505257089957,32.46446651418549,20.02712516543227,23.53195352616856,8.932512988016928,-3.5048283607362904
Rec_data_87,12.55317803570949,18.986279196877344,44.05675406028988,31.503576024580394,23.53195352616856,20.524800534121322,7.971622498411833
Rec_data_88,20.89063997100109,25.378547008374948,40.06185738042371,19.17121740942262,23.53195352616856,16.52990385425515,-4.36073611674594
Rec_data_89,20.819980181244897,24.220636444280835,49.18900764098488,28.369027459739986,23.53195352616856,25.657054114816322,4.837073933571425
Rec_data_90,21.965199046496423,28.79016673948452,38.96594791724375,17.00074887074733,23.53195352616856,15.433994391075192,-6.531204655421231
Rec_data_91,23.69626828003924,23.78639365269832,45.48568073836769,21.78941245832845,23.53195352616856,21.95372721219913,-1.7425410678401114
Rec_data_92,22.989963336263195,27.74959010522952,45.45498631809775,22.465022981834558,23.53195352616856,21.92303279192919,-1.066930544334003
Rec_data_93,25.034865982377884,27.54178409660559,36.83223294315943,11.797366960781549,23.53195352616856,13.300279416990872,-11.734586565387012
Rec_data_94,25.878985523798097,23.37883991658969,39.57642589746636,13.697440373668261,23.53195352616856,16.044472371297797,-9.8345131525003
Rec_data_95,19.790988477437445,24.21009652376912,42.73792491560089,22.946936438163448,23.53195352616856,19.20597138943233,-0.5850170880051131
Rec_data_96,26.138366032218677,22.863415027500743,50.29018477468897,24.15181874247029,23.53195352616856,26.758231248520406,0.6198652163017293
Rec_data_97,23.336733683371765,32.11640807666648,57.71716735860709,34.380433675235324,23.53195352616856,34.185213832438535,10.84848014906677
Rec_data_98,21.808344327428262,21.967134489503817,46.72657148319467,24.918227155766406,23.53195352616856,23.194617957026107,1.386273629597845
Rec_data_99,21.674556299227103,24.579709531830336,37.173997837718375,15.499441538491272,23.53195352616856,13.642044311549814,-8.032511987677289
Rec_data_100,28.5586562869422,23.78786991481011,43.981046285014514,15.422389998072315,23.53195352616856,20.449092758845953,-8.109563528096245
Rec_data_101,6.461326244513061,8.462894120757657,36.24184986443596,29.780523619922903,23.53195352616856,12.709896338267402,6.248570093754341
Rec_data_102,8.675343302323853,9.487538702893715,29.73993105659693,21.064587754273077,23.53195352616856,6.207977530428369,-2.4673657718954836
Rec_data_103,14.483663070370472,11.309211215864192,37.95663923234298,23.472976161972507,23.53195352616856,14.424685706174419,-0.05897736419605337
Rec_data_104,23.136735610274613,23.56319742765113,41.993065937615945,18.856330327341333,23.53195352616856,18.461112411447385,-4.675623198827228
Rec_data_105,21.788226046837845,21.316048298449992,39.57220610324916,17.783980056411313,23.53195352616856,16.040252577080597,-5.747973469757248
Rec_data_106,32.40076154537216,30.909270688708794,59.96902901457906,27.568267469206894,23.53195352616856,36.4370754884105,4.036313943038337
Rec_data_107,12.72478688445078,13.873526016675068,43.584041094618456,30.859254210167677,23.53195352616856,20.052087568449895,7.327300683999116
Rec_data_108,12.047833512954243,15.314362690122966,38.18180240486189,26.13396889190765,23.53195352616856,14.64984887869333,2.6020153657390868
Rec_data_109,21.44087938205619,29.062242552028803,35.018511702925366,13.577632320869178,23.53195352616856,11.486558176756805,-9.954321205299383
Rec_data_110,16.347078373108545,17.722738825474394,38.63415420174494,22.287075828636397,23.53195352616856,15.10220067557638,-1.2448776975321643
Rec_data_111,24.79119015030295,20.85927526531184,31.848786103204866,7.0575959529019165,23.53195352616856,8.316832577036305,-16.474357573266644
Rec_data_112,15.59689064041947,21.041064419241145,45.21737850072732,29.62048786030785,23.53195352616856,21.68542497455876,6.08853433413929
Rec_data_113,27.687228215573956,26.764961803016305,44.22987124864937,16.54264303307541,23.53195352616856,20.697917722480806,-6.98931049309315
Interrupted_15,5.856471910146978,12.638635824262453,25.968595459139426,20.112123548992447,23.53195352616856,2.436641932970865,-3.4198299771761134
Interrupted_16,8.014187675526053,13.049667954514884,34.656097069038964,26.64190939351291,23.53195352616856,11.124143542870403,3.1099558673443504
Interrupted_17,8.428192404908193,8.726916403392785,20.10335972790003,11.675167322991838,23.53195352616856,0.0,-8.428192404908193
Interrupted_18,6.666808137396382,9.1434380934903,37.83577120187486,31.168963064478483,23.53195352616856,14.303817675706302,7.63700953830992
Interrupted_19,12.465882074754932,12.882163464370734,25.756384123187846,13.290502048432915,23.53195352616856,2.2244305970192855,-10.241451477735646
Interrupted_20,3.165949470234536,8.661683020982052,26.00824106493893,22.842291594704392,23.53195352616856,2.476287538770368,-0.6896619314641681
Slow_18,3.625816076959326,6.362859057472581,31.315877897963453,27.69006182100413,23.53195352616856,7.7839243717948925,4.158108294835566
Slow_19,6.393534857552067,13.663503255364397,16.510007182864772,10.116472325312705,23.53195352616856,0.0,-6.393534857552067
Slow_20,3.552290948602879,9.668392855305608,17.08296839491002,13.53067744630714,23.53195352616856,0.0,-3.552290948602879
Slow_21,4.049105368981141,6.418741639470761,28.85160088363074,24.8024955146496,23.53195352616856,5.3196473574621805,1.2705419884810398
Slow_22,3.57827038861522,14.458144199043286,20.33555759869661,16.75728721008139,23.53195352616856,0.0,-3.57827038861522
Slow_23,4.939511230696723,9.780083253810991,31.43065835981155,26.491147129114825,23.53195352616856,7.898704833642988,2.9591936029462653
Slow_24,6.312589971053284,11.48347288858285,48.729150639196455,42.41656066814317,23.53195352616856,25.197197113027894,18.88460714197461
Slow_25,3.823492727878007,7.880626682891988,23.968036010988687,20.14454328311068,23.53195352616856,0.4360824848201261,-3.387410243057881
Staccato_18,9.752089756357112,9.81741884607108,38.05727118391701,28.305181427559898,23.53195352616856,14.525317657748449,4.773227901391337
Staccato_19,8.962664319807324,18.666929552519598,46.510802375735175,37.54813805592785,23.53195352616856,22.978848849566614,14.01618452975929
Staccato_20,8.226715527383705,11.669037497536491,48.78901973930105,40.56230421191734,23.53195352616856,25.257066213132486,17.03035068574878
Staccato_21,12.6133241611449,15.388038856115305,40.86066166931516,28.247337508170254,23.53195352616856,17.328708143146596,4.715383982001695
Staccato_22,12.2686313157855,15.604856029651314,39.83327135675268,27.564640040967184,23.53195352616856,16.30131783058412,4.0326865147986215
Staccato_23,7.451884262477039,11.89253404508846,46.18642285845423,38.73453859597719,23.53195352616856,22.654469332285668,15.20258506980863
Staccato_24,21.309253628458706,25.75136187613639,60.28959501368723,38.98034138522853,23.53195352616856,36.75764148751867,15.448387859059963
